,symbol,open_time,open,high,low,close,volume_coin,close_time,volume,num_of_trades,buy_volume_coin,buy_volume,ignore,date
184,BTCUSDT,1606359840000,18365.99,18366.5,18289.52,18321.17,1067.538,1606359899999,19547217.99145,4452,462.034,8460214.81493,0,1970-01-01 00:00:01.606359840
185,BTCUSDT,1606359900000,18321.17,18326.19,18261.0,18276.37,1344.017,1606359959999,24574956.73866,5512,412.115,7536606.71292,0,1970-01-01 00:00:01.606359900
186,BTCUSDT,1606359960000,18275.38,18290.0,18194.65,18270.0,3585.298,1606360019999,65364176.0415,10988,1167.912,21302382.40220,0,1970-01-01 00:00:01.606359960
187,BTCUSDT,1606360020000,18269.99,18274.98,18116.0,18131.07,3436.505,1606360079999,62481075.01897,12287,1198.034,21783702.41526,0,1970-01-01 00:00:01.606360020
188,BTCUSDT,1606360080000,18129.01,18259.94,18081.0,18212.61,4207.307,1606360139999,76389572.9211,11959,2016.545,36649317.15154,0,1970-01-01 00:00:01.606360080
189,BTCUSDT,1606360140000,18213.3,18214.64,18118.03,18163.4,1748.238,1606360199999,31735757.4932,7272,801.705,14553327.91741,0,1970-01-01 00:00:01.606360140
190,BTCUSDT,1606360200000,18165.26,18178.42,18118.03,18141.37,1251.763,1606360259999,22706090.97347,4062,533.774,9683987.59672,0,1970-01-01 00:00:01.606360200
191,BTCUSDT,1606360260000,18143.83,18239.81,18106.0,18210.52,1892.710,1606360319999,34411284.09813,6724,1051.305,19123942.77650,0,1970-01-01 00:00:01.606360260
192,BTCUSDT,1606360320000,18210.42,18244.99,18202.9,18237.73,1060.085,1606360379999,19321472.48988,4259,517.591,9435611.69357,0,1970-01-01 00:00:01.606360320
193,BTCUSDT,1606360380000,18238.71,18278.04,18230.13,18275.74,905.040,1606360439999,16522126.35939,3519,548.447,10013189.19525,0,1970-01-01 00:00:01.606360380
194,BTCUSDT,1606360440000,18275.98,18310.0,18262.62,18308.6,838.702,1606360499999,15340689.86853,2908,501.879,9180502.08757,0,1970-01-01 00:00:01.606360440
195,BTCUSDT,1606360500000,18309.93,18310.0,18250.0,18252.63,786.554,1606360559999,14377282.14966,3495,330.985,6050404.33016,0,1970-01-01 00:00:01.606360500
196,BTCUSDT,1606360560000,18252.61,18277.96,18223.87,18277.53,583.130,1606360619999,10642654.99054,2428,274.884,5017682.84398,0,1970-01-01 00:00:01.606360560
197,BTCUSDT,1606360620000,18277.54,18292.0,18254.29,18287.99,467.171,1606360679999,8537916.45604,2092,207.744,3798064.35018,0,1970-01-01 00:00:01.606360620
198,BTCUSDT,1606360680000,18287.99,18287.99,18202.0,18202.0,595.934,1606360739999,10866721.01232,2424,155.667,2839413.01600,0,1970-01-01 00:00:01.606360680
199,BTCUSDT,1606360740000,18204.97,18241.4,18175.27,18206.37,837.347,1606360799999,15245586.9014,3040,394.066,7176128.83960,0,1970-01-01 00:00:01.606360740
200,BTCUSDT,1606360800000,18206.37,18207.99,18165.48,18168.35,602.861,1606360859999,10960387.2613,2631,163.146,2966465.51930,0,1970-01-01 00:00:01.606360800
201,BTCUSDT,1606360860000,18169.19,18211.0,18152.74,18164.25,772.798,1606360919999,14044999.80853,2988,329.016,5981406.86996,0,1970-01-01 00:00:01.606360860
202,BTCUSDT,1606360920000,18165.24,18231.34,18157.5,18226.31,536.506,1606360979999,9762102.10401,2202,313.904,5712986.52803,0,1970-01-01 00:00:01.606360920
203,BTCUSDT,1606360980000,18223.26,18264.43,18218.75,18258.8,526.344,1606361039999,9601951.83298,2132,357.510,6522117.85629,0,1970-01-01 00:00:01.606360980
